tid,text,gt
291,Nothing like a night out to celebrate the #BlueJays ' winning streak and to take a break from #elxn42 ! #LPC,1
292,Great to be with @USER & @USER at the #Winnipeg South Campaign office . #cdnpoli #elxn42 #CPC,1
293,""" "" A better Canada is always possible ! "" "" @USER #LPC #yyc #elxn42 #cdnpoli #abpoli #realchange #strongplan",1
294,Media Release : Progressive Canadian Party on Bank of Canada Infrastructure funding . #elxn42 HTTPURL,0
295,Scrappier Harper emerges as economy becomes campaign focus #elxn2015 HTTPURL,1
296,Hey @USER @USER - team @USER en route to the #Rally4Change ! #misspoli #Elxn42,1
297,Something you wo n't hear @USER ever say ... #elxn42 #polqc,1
298,. @USER Thanks 4 sharing important #LPC social housing announcement Sep 9 #Toronto #BurlON #Oakville #elxn42,0
299,Joined @USER tonight in #Mississauga w / #TeamTrudeau Cdts to speak w / Muslim Community Leaders about #elxn42,1
300,Women 's issues debate called off after Mulcair pulls out #CNDpoli #Elxn42 HTTPURL,2
301,York region candidates all together this morning to hear @USER ' s announcement in Richmond Hill ! #elxn42,0
302,Love seeing all the produce while door knocking in my #CPC #KD4MP bid #CPC #elxn42 #KD4MP #canpoli #cdnpoli #YEGFOOD,1
303,Agree ? ? ? ? #elxn42 #Cloverdale #LangleyBC,1
304,"It 's @USER ending his barn burner at the #spafy #elxn42 office launch , praising @USER and #lpc",1
305,"Meet Brian Krzyzaniak , who has a remarkably open mind this election . #spnews #news #elxn42 HTTPURL",1
306,Friends of Canadian Broadcasting doubling down on 2015 campaign : #cdnpoli #elxn42 #cbc HTTPURL,1
307,Great to see @USER with @USER & @USER speaking to the #Winnipeg #South #community #cdnpoli #elxn42,1
308,"Chris Woodcock back on the stand in "" "" This Day in Duffy "" "" . More nose stretchers ? #cdnpoli #polcan #elxn42",0
309,"If the #Duffy affair was no big deal , why all the effort to hide it ? #cdnpoli #elxn42 #CPC HTTPURL",0
310,If abortion is a settled issue in #Canada then why people get upset with images of abortion #TeamBennett #LPC #elxn42,2
311,Public Sign near Science World Vancouver #cdnpoli #elxn42 #Duffy #DuffyTrial,0
312,Register to #Vote @USER elections.ca #canada #indigenous #elxn2015 #elxn42 #firstnation #cndpoli #inuit #Metis #fbpoli,0
313,My review of Mel Hurtig 's The Arrogant Autocrat is on @USER #elxn42 #cdnpoli HTTPURL,2
314,#Willowdale @USER get ready @USER lawn signs are coming your way ! #elxn42 #cdnpoli #TeamTrudeau,1
315,Borrow to buy a house ? Car ? Send your kids to college ? @USER ' s infrastructure ideas are good . #elxn42,1
316,"Honoured to put up a sign at the farm of Gord Miller , a stalwart of public service in #Haldimand - #Norfolk . #elxn42",1
317,Looks like @USER #NDP numbers do n't add up ! + billions more in spending . #canpoli #elxn42,1
318,If abortion is a settled issue in #Canada than why people get upset with images of abortion ? #elxn42 #teamtrudeau,2
319,"Sept 19 - Blood Tribe 5 to 10 pm , #elxn2015 #Indigenous #blackfoot",0
320,Right now at @USER : a demonstration of how to analyze #elxn42 with Nexalogy @USER,1
321,Doug Ford for PM ? Rob thinks it could happen : #cdnpoli #elxn42 HTTPURL,0
322,#CPC may want to rethink their promotion of a Free Mug for each donation ! #elxn42 #cdnpoli #peegate,1
323,Joe Oliver Discovered Rotting in a prison of his own making #cdnpoli #elxn42,2
324,@USER Not so great moments in Canadian History with Stephen Harper #elxn2015,2
325,Has the time come for journalists and polticians to #stopbullying ? #canpoli #onpoli #elxn42 HTTPURL,0
326,Candidates texting :) #RealChange #elxn42 #cdnpoli,0
327,"Harper tax cuts & credits #elxn42 #polqc ( Feel free to take , repost & share these graphics yourself : )",1
328,@USER @USER This type of #HarperKnew poster has been spontaneously showing up in #Vancouver #elxn42,0
329,Love the t-shirts these two are sporting this evening ! #ndpaction #Scarborough #Guildwood #betterchoice #elxn2015,1
330,IF I ONLY HAD A FAIR AND DEMOCRATIC ELECTION SYSTEM :( #elxn42 #elxn2015,2
331,"Looks like #YYC has gone red , and it 's not for the Flames this time ! Lots of support for @USER #elxn42 #LPC",1
332,"We are at War bothers & sisters and only I , Steven , can lead you to freedom ! Ignorance is Strength ! #cdnpoli #elxn42",2
333,"The NDP Rally for Change in Winnipeg drew about 1,000 people . #TM4PM #elxn42",0
334,Top Ten Conservative Election Social Media Fails So Far : #cdnpoli #StopHarper #elxn42 #canpoli HTTPURL,0
335,Gen . Hillier chastises @USER for their extreme anti-Harper ad #elxn42 #cdnpoli HTTPURL,2
336,This is scary . #cdnpoli #elxn42 HTTPURL,2
337,You may not be of Justin 's Canada #elxn42 #polqc,2
338,"Key dates to watch for in #elxn42 , via @USER : #cdnpoli HTTPURL",1
339,ICYMI : Harper is pulling out all the stops & actually kissed a baby yesterday . These photos c / o his FB page . #elxn42,1
340,Crowds throng in Guelph to support Green Party Leader @USER & Guelph candidate Gord Miller . #elxn42 #cdnpoIi,1
341,#LPC #NDP #CPC on ISIS #elxn42 #polqc,0
342,"Stephen Harper , he 's no longer ready . #cdnpoli #elxn42 #CPC #NDP #LPC HTTPURL",0
343,If abortion is a settled issue in #Canada than why people get upset with images of abortion ? #cdnpoli #elxn2015 ' #CPC,2
344,@USER @USER he can park it right beside this guys bus #cdnpoli #elxn42,0
345,. @USER @USER @USER @USER Oh no ! @USER closets come out in BC #cdnpoli #bcpoli #elxn42,0
346,Did all the parties get new leaders today ? Where is the #GlobeDebate ? #cdnpoli #elxn42,0
347,unidentified man in a bathrobe and sneakers waiting for @USER at all mens club #elxn42 HTTPURL,0
348,Progressive Canadian party calls on Government of Canada to intervene in #Fahmy case . #elxn42 HTTPURL,0
349,"Join CIJA , @USER & @USER for "" "" The #Jewish Community , #elxn42 & You "" "" in #Vancouver : HTTPURL",0
350,bigots like @USER and the #NDP have no place in Canadian politics #cdnpoli #elxn42 #NDPConfessions #NDP2015,0
351,This young woman will not fail to vote in 2015 . She knows the importance . #cdnpoli #elxn42 HTTPURL,1
352,Harper vows to help new Canadians find work in their field : #cdnpoli #elxn42 HTTPURL,1
353,Well said ! Register to vote help others register & get to the polls #indigenous #firstnation #elxn2015 @USER,1
354,"Discovered 2y ago , @USER ' s candidacy application is revealing today still . #cdnpoli #elxn42 #CPC #chickenParm",0
355,Two dozen secret cabinet decisions hidden from Parliament @USER @USER #cdnpoli #elxn42 HTTPURL,2
356,"Huh , wonder how many it takes to screw in a light bulb .. #cdnpoli #elxn42 #vote #CPCJesus",0
357,@USER @USER The Conservative Party of Canada #Charged #Charged #Charged #Charged #Charged #ABLeg #elxn2015,0
358,". @USER If what you 've done so far for Syria is the best you can do , your best wo n't do . #cdnpoli #elxn42",2
359,Canvassed for @USER today and now off to the #NDP rally downtown . #elxn42,0
360,Just did #VoteCompass via @USER . Im intrigued why NDP ' somewhat agrees ' #Indigenous ntns should have more ctrl #elxn42,1
361,Tides are changing in Ottawa AND #WhiteRock #SSurrey - Vote for change @USER Make your vote count ! #elxn42,1
362,Ray Novak makes media rare media appearance #cdnpoli #elxn42,1
363,Is this why @USER has n't made refugee crisis a priority for 2 1/2 yrs . Underlings to blame ? #elxn42 #polqc,2
364,Our plan for world domination . #elxn42 #cdnpoli #voteyvr #yvr,0
365,Sound check for @USER volunteer event at the Lula Lounge #cash4TO #elxn42 #davenportNDP,1
366,"Re #climatechange @USER "" "" we need to get moving on the national side . "" "" #elxn42 #yyccentre",0
367,This crowd tho ! @USER @USER #realchange #elxn42 #cdnpoli,0
368,The labour movement in #NovaScotia says it is Time For Change ! #NSpoli #canlab #CBpoli #cdnpoli #elxn42 #canpoli #1u,1
369,Fun fact : the federal election was supposed to start today . #elx42 #elxn2015,0
370,"Canadian Econ supported by consumer spending , business investment stalled B4 oil fell #elxn42 HTTPURL",0
371,Team Zuniga @USER #sfy #elxn42,1
372,@USER #guelph #elxn42 Candidate Forum Today @USER @USER @USER on Democracy .,1
373,Thanks to our team who was out putting up #TeamBarlow signs again tonight . More requests coming in ! #elxn2015,1
374,Meet Stephen Harper and his Team . Vote wisely on October 19 . #cdnpoli #elxn42 #pmharper,1
375,"He says "" "" Leadership "" "" I see Fuhrerprinzip #elxn42",0
376,I think he got the memo from @USER LPC #elxn42 #RealChange,1
377,Stephen Harper said he was at my son 's birthday party this year .. I guess photos do n't lie . #NotInHalifax #elxn42,1
378,"#AylanKurdi aunt says , #stop the war ! Maybe only way to #SaveTheChildren ? #canpoli #elxn42 HTTPURL",1
379,What kind of force for global peace does the NDP want Canada to be ? #cdnpoli #polqc #elxn42 HTTPURL,0
380,If abortion is a settled issue in #Canada than why people get upset with images of abortion ? #elxn42 #RealChange #LPC,2
381,This is the Liberal Economic Team . The Conservative team ? Stephen Harper and a mirror #elxn42 #RealChange,0
382,Wonder how many it takes to screw in a light bulb .. #cdnpoli #elxn42 #vote #CPCJesus,2
383,"Inside the meeting @USER , his staff and fellow #gpc #housingfirst #lrt #economy #cdnpoli #elxn42",1
384,@USER speaking at #NDP rally in #Vancouver #canpoli #vanpoli #elxn42 #elxn2015,0
385,"Wiliam Moughrabi , another candidate Conservatives keep hidden ? #cdnpoli #elxn42 #cdnpoli HTTPURL",2
386,Sadly not everybody counts in the #GenerationTrudeau ! #elxn42 #cdnpoli #LPC #TeamTrudeau #RealChange #CanadaVotes,1
387,"Rural #Manitoba canvassing in #Dauphin #SwanRiver #Neepawa , does n't get any more beautiful . #mbpoli #cdnpoli #elxn42",0
388,Lawn sign deliveries starts our day in #Haldimand - #NorfolkCounty ! Order yours : #elxn42 #LPC HTTPURL,0
389,Ridicule with extreme prejudice . #elxn42 #cdnpoli #cdnecon,2
390,When I see Harper photo-ops . #NorthKorea #elxn42 @USER,2
391,Legendary Canadian actor Donald Sutherland 's thoughts on Harper :) #canpoli #elxn42,1
392,It must be said ... and he demonstrates it best ... #elxn42 #polqc,1
393,Spotted ! 2 @USER #LPC signs in condo building window by #hamcentre Go station ! ! #elxn42 #cdnpoli @USER,1
394,"Canada is # 1 in Carbon Pollution Globally ! Go Harper , GO ! #cdnpoli #elxn42 #climatechange HTTPURL",2
395,@USER impossible with #elxn42,1
396,Was at the @USER downtown and got rained out . Still food and smiles everywhere . #elxn42,1
397,"Harper thinking : "" "" Hmm . Duffy , refugees , PeeGate , recession ... "" "" Harper talking : "" "" Look ! There 's a terrorist ! #elxn42",2
398,Up for an early morning announcement by @USER in #YYC - @USER & @USER Hehr here too ! #elxn42 #LPC,0
399,"At Sep 2 , @USER has #NDP in front w / 32.1 % , #LPC in 2nd w / 29 . % & #CPC at 27.7 % #elxn42 HTTPURL",0
400,"Tax Me , I 'm Canadian | By George Journal #cdnpoli #polqc #elxn42 #fed2015 HTTPURL",0
401,Join the campaign of @USER right now #Willowdale #VoteAli2015 #TeamTrudeau #LPC #elxn42 #cdnpoli,1
402,Great to meet a fellow liberal today in Mckenzie Towne and put up a sign ! #cdnpoli #yyc #TeamTrudeau #elxn42,1
403,Get the information you need for #elxn42 including resources on how to vote at #inclusion HTTPURL,1
404,Harper should take his own advice . #cdnpoli #elxn42 #CanadaVotes,0
405,Harper on Martin RE : Sponsorship Scandal #CdnPoli #elxn42 #elxn2015 #electionenergized #Duffy #DuffyGate,2
406,A message from #Australia to #Canada ; GET OUT AND VOTE #elxn42 #cdnpoli #yyc #yeg #yvr #yyz #yul #yhz,0
407,@USER out canvassing and meeting residents in Spadina-Fort York #sfy #elxn42,1
408,There are no second-class Canadians . #cdnpoli #elxn42 #canadavotes,1
409,Canadian Media Guild registers as a third party in #elxn42 Apparently some do n't know yet . HTTPURL,0
410,"Today is #TeamOmar day : Join me , 2-9 pm at #Mississauga Centre . | #LPC . @USER #RealChange #Trudeau2015 #elxn42",1
411,"5 things to watch for in Cdn . business this wk , including lots of stats & #elxn42 debate HTTPURL",2
412,Coping with emergency : Harper Govt takes 6 to 18 months to process admissions of #SyrianRefugees #cdnpoli #elxn42,2
413,@USER announces that a #Liberal gov't will invest an additional $ 20 billion in public transit ! #elxn42,1
414,Trudeau can't define middle class #elxn2015 HTTPURL,1
415,Hi @USER ! A positive voice for #ParkHP . Check out @USER . #realchange #elxn42 #LPC #cdnpoli #bloorwest,1
416,Lets join #onpoli #mississauga #pcpo #elxn42 #cdnpoli @USER,0
417,Setting up for @USER ' s response to today 's economic update . #elxn42 #lpc,0
418,Minister @USER speaking to students about #GenerationTrudeau w / @USER ! #UofT #Elxn42 #LPC,1
419,Mandryk : Tories show lack of compassion #spnews #news #elxn42 HTTPURL,2
420,Thanks for great conversations about Canada 's future under a Liberal government . #elxn42,1
421,Looks like we 're about to start at the #yyccentre debate for #elxn42 #cdnpoli #yyc,0
422,I am registered at least ! #elxn42 elections.ca,0
423,Taking a break from the oppressive heat to enjoy cold drinks at the Cove Cafe in Sandy Cove #BarrieInnisfil #Elxn2015,1
424,"Natpo says harper has a sense of humor . Yeah , so what ? #elxn42 HTTPURL",2
425,#yxegrasswood Mark Bigland-Pritchard reps Green 's Glendon Toews . Toews unavailable 2nite as well . #elxn42 #yxe,0
426,Joe Oliver everybody ! #recession #stopharper #ndp #cdnpoli #onpoli #topoli #elxn42,0
427,@USER @USER and today 's volunteers . #elxn42 #Hamont,0
428,"Voter suppression , disinterest and other factors combine . A dangerous trend has taken hold . #cdnpoli #elxn42",2
429,Vancouver Island Ridings r 2 Way Race w / Momentum Favouring Greens : Insight West Polling #cdnpoli #elxn42 #canpoli,1
430,". @USER asks "" "" how to ask questions ( about issues ) if the government is n't available . "" "" #elxn42 #yyccentre",0
431,Leadership respects who we are ... what we stand for #elxn42 #polqc,0
432,Harper Controls Every Major Decision of Con Gov But Claims to Have Known NOTHING Abt #Duffy Scandal #elxn42 #cdnpoli,2
433,Get informed ... get involved ... Our gov't ... our election Your vote ... YOUR LIFE #fed2015 #elxn42 #cdnpoli,1
434,"Picture of Steven Harper when asked if he respects media , democracy , the courts , and the law . #elxn42",2
435,Why vote #CPC ? #cdnpoli #polqc #elxn42 Not cuz they 're perfect Cuz they 're the best choice Cuz they got your back,1
436,"Stephen Harper says , "" "" I led you into this mess , now trust me to lead you out . "" "" #cdnpoli #elxn42 StatCan ( 081-0015 )",0
437,227 000 fake followers for @USER #elxn42 HTTPURL,2
438,#VoteYVR makes asking #MetroVancouver candidates questions easy . #elxn42 #cdnpoli #yvr HTTPURL,2
439,Break at #elxn42 #yyccentre debate . I would rate 1 . @USER 2 . @USER 3 . @USER 4 . Thana,0
440,Big-spending election campaign set to ramp up airwaves war #elxn42 #elxn2015 #cdnpoli HTTPURL,2
441,I support #Canadian energy and prosperity . #cdnpoli #Harper #stephenharper #elxn42 #oilsands #cpc #conservative,1
442,Harper Recruiting poster for Canadian Veterans to turn back the progressive hoards ! #elxn42 #cdnpoli,1
443,#Canada If you do n't vote Grumpy ' Ole Demented Men choose your prime minister . #cdnpoli #elxn42 #GrumpyOldMen,2
444,Saw this today . Sets record on who was 1st to deeply oppose #C51 . #NDP spin said otherwise . Why ? #cdnpoli #elxn42,0
445,"CANADIANS on Interpol public website , listed as wanted for terrorism MT @USER #elxn42 HTTPURL",2
446,Liberals bring coach and unload at pit of chanting partisans . Trudeau arrives imminently . #GlobeDebate #elxn42,1
447,Spotted recently in the #Annex #elxn42 #elxn2015 cc @USER @USER,1
448,". @USER talking how @USER will scrap income splitting , stock options , proper infrastructure , #elxn42 #cdnpoli",1
449,Canadian Media Guild : How to Champion Public Broadcasting during the election | #elxn42 HTTPURL,0
450,#TeamSorbara cheering our amazing leader @USER as he talks about his plan for #realchange ! #elxn42,1
451,#Calgary Voters take our brand new @USER Poll and join the Federal Election Discussion #elxn42 #canpoli #cdnpoli,0
452,@USER @USER @USER #elxn42 Blue parrot made G & M ed . cartoon w / right wing wizard of Oz .,2
453,Should Canadians Put Their Trust In Justin ? - The Justin Trudeau song ! #canpoli #elxn42 HTTPURL,2
454,"West Nova AGM , guest speaker Liberal candidate @USER #elxn42 #nspoli - info at HTTPURL",0
455,Look at all of that red awaiting tonight 's debate ! #LPC #TeamTrudeau #cdnpoli #exln42 #elxn2015 #RealChange #yyc,0
456,warming up the crowd at the rally for change #hamont #cdnpoli #elxn42,1
457,5.5 million Canadian #millennials are eligible to vote in the upcoming federal election ! Will they ? #elxn42,1
458,Pakistan PM in presence of American Imperialism Vs Canada 's PM in presence of American Imperialism #Cdnpoli #elxn42,2
459,"So the flower says , "" "" I told you I would grow better with bullshit as fertilizer ! "" "" #cdnpoli #elxn42",2
460,@USER explains his follow-the-leader attitude toward apologies . #CDNpoli #elxn42 #BramptonNorth #liar #fraud,2
461,It 's awesome seeing so many churches in #Winnipeg supporting #ShoalLake40 #FreedomRoad . Why wo n't @USER ? #elxn42,1
462,Beautiful morning to share #LPC transit plan . #elxn42 #cdnpoli #realchange,1
463,Democracy in action ! Team Jerome signs going up in New Brighton ! #cdnpoli #elxn42 @USER #LPC #yycshepard #yyc,1
464,Great turn-out today @USER official open house-excitement building for #elxn42 #orangecrush @USER,1
465,Msg to #Mulcair & #Trudeau : Here 's an #Islamist from Australia . They 're here as well . #elxn42 HTTPURL,0
466,"The "" "" Camplane "" "" #elxn42 #LPC",0
467,A delight to be in front #TeamTrudeau office / . @USER in #Mississauga Centre . Join me 1 to 7pm . #LPC #elxn42,1
468,#CPC bus was supposed to last until Oct 19 but the wheels fell off prematurely . #cdnpoli #elxn42,2
469,Political Ideologies and the Legal Profession How do lawyers fit in to #cdnpoli #elxn42 ? HTTPURL,0
470,"Scooped from Facebook . File under "" "" Revenge of the poopin ' puffins "" "" . #elxn42 #KarmaCanBeABitch",0
471,"Canada "" "" making investments for the long term . "" "" Too bad those are in Mexico . #cdnpoli #elxn42 HTTPURL",0
472,""" "" I spent my life for Canada ~ Let 's bring Canada back ~ Vive le Canada "" "" Jean Chretien #ELXN42 #RealChange",1
473,Who says Harper is n't creating jobs ! @USER #elxn42,2
474,#NDP Tax hikes #elxn42 #polqc,2
475,Last week #Duffy took control of #Elxn42 . Harper had a tough week on #socialmedia HTTPURL,0
476,DEFENCE PLATFORMS > @USER #elxn42 via @USER HTTPURL,0
477,"Taking "" "" running for office "" "" literally ! #elxn42 #lpc",1
478,My op-ed @USER to set the record straight on @USER : #elxn42 #UpForDebate HTTPURL,0
479,Austerity . Tax breaks for corps & wealthy . Time to beat #Harper economic Piñata with your votes . Oust #CPC . #elxn42,0
480,Did a PMO lackey tamper with Woodcock 's evidence at #DuffyTrial ? #cdnpoli #elxn42 #polcan #onpoli #topoli,2
481,Great day celebrating #Pride with @USER and @USER :) #yyc #yycpride #yyccentre #elxn42,0
482,200 individuals target met in today 's Rachel Bendayan 's team canvass event . Great spirit . @USER #elxn42,1
483,@USER Unsafe site 4 Cda Post Box . Complained to Conservative MP . Nothing done . People have to park on road . #elxn42,2
484,Another GREAT night of #RealChange door-knocking with @USER in McKenzie Towne #yyc #cdnpoli #elxn42,1
485,Make the global goals popular and vote for a leader who has plans to help us achieve them ! #cdnpoli #elxn42 #SDGs,1
486,"Whatever your political stripes , be sure you 're registered to vote on Oct 19 . Takes 2min via @USER . #elxn42",1
487,@USER as he prepares for debate on 2015-09- 18 . #CDNpoli #elxn42 #BramptonNorth,1
488,We sell LAVs to the Saudi 's who use them to red mist Yemenis . This should be an #elxn42 issue . HTTPURL,2
489,"#HarperScoutBadges Ray "" "" of Sunshine "" "" Novak A good little Boy Scout #elxn42 #cdnpoli",1
490,Document passed out from the Agricultural Producers Association of Saskatchewan #elxn42,0
491,The Human Freedom Index Canada is ranked 6th of 152 countries #cdnpoli #polqc #elxn42 HTTPURL,1
492,. @USER & @USER in #RichmondHill this am ! #elxn42 #LPC,1
493,Setting for a round table discussion with @USER on #Seniors & #PublicHealth #Cloverdale #LangleyBC #Elxn42,1
494,One more reason Canadian youth ought to vote wisely . #cdnpoli #elxn42 source : StatCan 282-0001,1
495,Hah ! @USER ' s Trickle Down economics becomes even more distasteful . #peegate #elxn2015,2
496,Conservative Support COLLAPSE : 40 % Past #CPC Voters 2 Vote for Another Party #cdnpoli #elxn42 HTTPURL,2
497,Canadian Media Guild : How to Champion Public Broadcasting during the election | #elxn42 HTTPURL,0
498,Harper Has Passed Laws To Keep Cdns Who Oppose Him From Voting : The Guardian #cdnpoli #elxn42 HTTPURL,0
499,"We have @USER hosting , @USER at podium with remarks . #elxn42 #yxe #yxewest",0
